AJ;1;01. Atualizacao                             ;aj0101  ;A.  Atualizacao de Informacoes Gerais       ;GERAL                                                                                                                                                                                              ;ADM;1
AJ;7;07. Log de Programas                        ;aj0701  ;A.  Listagem do Log de Programas            ;GERAL                                                                                                                                                                                              ;ADM;40
AJ;7;07. Log de Programas                        ;aj0702  ;B.  Eliminacao do Log de Programas          ;GERAL                                                                                                                                                                                              ;ADM;41
AJ;7;07. Log de Programas                        ;aj0105  ;C.  Manutencao de Programas                 ;GERAL                                                                                                                                                                                              ;ADM;42
AJ;8;08. Documentacao do Sistema                 ;aj0114  ;A.  Palavras do Glossario                   ;GERAL                                                                                                                                                                                              ;ADM;43
AJ;8;08. Documentacao do Sistema                 ;aj0115  ;B.  Relaciona Sistema x Glossario           ;GERAL                                                                                                                                                                                              ;ADM;44
AJ;8;08. Documentacao do Sistema                 ;aj0116  ;C.  Introducao do Sistema                   ;GERAL                                                                                                                                                                                              ;ADM;45
AJ;8;08. Documentacao do Sistema                 ;aj0117  ;D.  Relaciona Sistema x Introducao          ;GERAL                                                                                                                                                                                              ;ADM;46
AP;1;01. Atualizacao dos Cadastros Gerais        ;cd0101  ;A.  Parametros Globais                      ;GERAL                                                                                                                                                                                              ;ADM;47
AP;1;01. Atualizacao dos Cadastros Gerais        ;cd0103  ;B.  Cotacoes de Moedas                      ;GERAL                                                                                                                                                                                              ;ADM,CB0;48
AP;1;01. Atualizacao dos Cadastros Gerais        ;cd0104  ;C.  Empresas                                ;GERAL                                                                                                                                                                                              ;ADM,CT0;49
AP;1;01. Atualizacao dos Cadastros Gerais        ;cd0105  ;D.  Contas                                  ;GERAL                                                                                                                                                                                              ;ADM,CT0;50
AP;1;01. Atualizacao dos Cadastros Gerais        ;cd0106  ;E.  Sub-Contas                              ;GERAL                                                                                                                                                                                              ;ADM,CT0;51
AP;1;01. Atualizacao dos Cadastros Gerais        ;cd0107  ;F.  Contas Contabeis                        ;GERAL                                                                                                                                                                                              ;ADM,CT0;52
AP;1;01. Atualizacao dos Cadastros Gerais        ;cd0403  ;G.  Estabelecimentos                        ;GERAL                                                                                                                                                                                              ;ADM,CT0;53
AP;1;01. Atualizacao dos Cadastros Gerais        ;cd0102  ;H.  Termos de Abertura/Encerramento         ;GERAL                                                                                                                                                                                              ;ADM,CT0;54
AP;1;01. Atualizacao dos Cadastros Gerais        ;cd0405  ;I.  Mensagens                               ;GERAL                                                                                                                                                                                              ;ADM,CT0;55
AP;1;01. Atualizacao dos Cadastros Gerais        ;cd0407  ;J.  Grupo de Fornecedores                   ;GERAL                                                                                                                                                                                              ;ADM,CT0,CE0;56
AP;1;01. Atualizacao dos Cadastros Gerais        ;cd0912  ;K.  Calendario Comercial                    ;GERAL                                                                                                                                                                                              ;ADM,CT0;57
AP;1;01. Atualizacao dos Cadastros Gerais        ;cd0913  ;L.  Historicos Padronizados                 ;GERAL                                                                                                                                                                                              ;ADM,CT0;58
AP;1;01. Atualizacao dos Cadastros Gerais        ;cd0904  ;M.  Unidades de Federacao                   ;GERAL                                                                                                                                                                                              ;ADM,CT0;59
AP;2;02. Listagem de Cadastros Gerais            ;cd0301  ;A.  Parametros Globais                      ;GERAL                                                                                                                                                                                              ;ADM;60
AP;2;02. Listagem de Cadastros Gerais            ;cd0303  ;B.  Cotacoes de Moedas                      ;GERAL                                                                                                                                                                                              ;ADM,CB1;61
AP;2;02. Listagem de Cadastros Gerais            ;cd0304  ;C.  Empresas                                ;GERAL                                                                                                                                                                                              ;ADM,CT1;62
AP;2;02. Listagem de Cadastros Gerais            ;cd0305  ;D.  Contas                                  ;GERAL                                                                                                                                                                                              ;ADM,CT1;63
AP;2;02. Listagem de Cadastros Gerais            ;cd0306  ;E.  Sub-Contas                              ;GERAL                                                                                                                                                                                              ;ADM,CT1;64
AP;2;02. Listagem de Cadastros Gerais            ;cd0307  ;F.  Plano de Contas                         ;GERAL                                                                                                                                                                                              ;ADM,CT1;65
AP;2;02. Listagem de Cadastros Gerais            ;cd0506  ;G.  Estabelecimentos                        ;GERAL                                                                                                                                                                                              ;ADM,CT1;66
AP;2;02. Listagem de Cadastros Gerais            ;cd0302  ;H.  Termos                                  ;GERAL                                                                                                                                                                                              ;ADM,CT0;67
AP;2;02. Listagem de Cadastros Gerais            ;cd0510  ;I.  Mensagens                               ;GERAL                                                                                                                                                                                              ;ADM,CT1,CR1;68
AP;2;02. Listagem de Cadastros Gerais            ;cd0508  ;J.  Grupo de Fornecedores                   ;GERAL                                                                                                                                                                                              ;ADM,SU1,PD1,CE1;69
AP;2;02. Listagem de Cadastros Gerais            ;cd1012  ;K.  Calendario                              ;GERAL                                                                                                                                                                                              ;ADM;70
AP;2;02. Listagem de Cadastros Gerais            ;cd1013  ;L.  Historicos Padronizados                 ;GERAL                                                                                                                                                                                              ;ADM,CT1;71
AP;2;02. Listagem de Cadastros Gerais            ;cd1006  ;M.  Unidades de Federacao                   ;GERAL                                                                                                                                                                                              ;ADM,OF1;72
AP;3;03. Atualizacao de Cadastros                ;ap0301  ;A.  Parametros do Modulo                    ;GERAL                                                                                                                                                                                              ;ADM,AP0;73
AP;3;03. Atualizacao de Cadastros                ;cd1502  ;B.  Especie de Documentos                   ;GERAL                                                                                                                                                                                              ;ADM,CR0;74
AP;3;03. Atualizacao de Cadastros                ;cd0401  ;C.  Fornecedores                            ;COMPRA,maranhao,antoniog,INFORMAT                                                                                                                                                                  ;ADM,CG2;75
AP;3;03. Atualizacao de Cadastros                ;cd1503  ;D.  Contas de Saldo                         ;GERAL                                                                                                                                                                                              ;ADM,CT0;76
AP;3;03. Atualizacao de Cadastros                ;cd1101  ;E.  Bancos                                  ;GERAL                                                                                                                                                                                              ;ADM,CB1;77
AP;3;03. Atualizacao de Cadastros                ;cd1102  ;F.  Agencias Bancarias                      ;GERAL                                                                                                                                                                                              ;ADM,CB1;78
AP;3;03. Atualizacao de Cadastros                ;cd1103  ;G.  Contas Correntes                        ;GERAL                                                                                                                                                                                              ;ADM,CB1;79
AP;3;03. Atualizacao de Cadastros                ;cd0901  ;H.  Portadores                              ;GERAL                                                                                                                                                                                              ;ADM,CB0;80
AP;3;03. Atualizacao de Cadastros                ;cd0920  ;I.  Tipos de Receita/Despesas               ;GERAL                                                                                                                                                                                              ;ADM,AP0;81
AP;4;04. Listagem de Cadastros                   ;ap0401  ;A.  Parametros do Contas a Pagar            ;GERAL                                                                                                                                                                                              ;ADM,AP0,AP1;82
AP;4;04. Listagem de Cadastros                   ;ap0402  ;B.  Especie de Documentos                   ;GERAL                                                                                                                                                                                              ;ADM,AP0,AP1;83
AP;4;04. Listagem de Cadastros                   ;cd0504  ;C.  Fornecedores                            ;GERAL                                                                                                                                                                                              ;ADM,PD1,SU1;84
AP;4;04. Listagem de Cadastros                   ;ap0404  ;D.  Contas de Saldo                         ;GERAL                                                                                                                                                                                              ;ADM,AP0,AP1;85
AP;4;04. Listagem de Cadastros                   ;cd1201  ;E.  Bancos                                  ;GERAL                                                                                                                                                                                              ;ADM,CB1;86
AP;4;04. Listagem de Cadastros                   ;cd1202  ;F.  Agencias Bancarias                      ;GERAL                                                                                                                                                                                              ;ADM,CB1;87
AP;4;04. Listagem de Cadastros                   ;cd1203  ;G.  Contas Correntes                        ;GERAL                                                                                                                                                                                              ;ADM,CB1;88
AP;4;04. Listagem de Cadastros                   ;cd1001  ;H.  Portadores                              ;GERAL                                                                                                                                                                                              ;ADM,CB0,CB1;89
AP;4;04. Listagem de Cadastros                   ;cd1020  ;I.  Tipos de Receitas/Despesas              ;GERAL                                                                                                                                                                                              ;ADM,CT1;90
AP;5;05. Manutencao dos Documentos               ;ap0501  ;A.  Implantacao de Documentos               ;GERAL                                                                                                                                                                                              ;ADM,AP0;91
AP;5;05. Manutencao dos Documentos               ;ap0502  ;B.  Implantacao de Previsoes                ;GERAL                                                                                                                                                                                              ;ADM,AP0;92
AP;5;05. Manutencao dos Documentos               ;ap0503  ;C.  Implantacao de Antecipacoes             ;GERAL                                                                                                                                                                                              ;ADM,AP0;93
AP;5;05. Manutencao dos Documentos               ;ap0504  ;D.  Substituicao de Notas por Duplicatas    ;GERAL                                                                                                                                                                                              ;ADM,AP0;94
AP;5;05. Manutencao dos Documentos               ;ap0507  ;E.  Acerto/Alteracao de Documentos          ;GERAL                                                                                                                                                                                              ;ADM,AP0;95
AP;5;05. Manutencao dos Documentos               ;ap0505  ;F.  Baixa de Notas/Duplicatas               ;GERAL                                                                                                                                                                                              ;ADM,AP0;96
AP;5;05. Manutencao dos Documentos               ;ap0508  ;G.  Pagamento Extra-Fornecedor              ;GERAL                                                                                                                                                                                              ;ADM,AP0;97
AP;5;05. Manutencao dos Documentos               ;ap0514  ;H.  Baixa por Cheque Nominal                ;GERAL                                                                                                                                                                                              ;ADM,AP0;98
AP;5;05. Manutencao dos Documentos               ;ap0517  ;I.  Confirmacao de Bordero de AN's e PEF's  ;GERAL                                                                                                                                                                                              ;ADM,AP0;99
AP;5;05. Manutencao dos Documentos               ;ap0506  ;J.  Cancelamento de Documentos              ;GERAL                                                                                                                                                                                              ;ADM,AP0;100
AP;5;05. Manutencao dos Documentos               ;ap0518  ;K.  Transferencia de Antecipacoes           ;GERAL                                                                                                                                                                                              ;ADM,AP0;101
AP;5;05. Manutencao dos Documentos               ;ap0521  ;L.  Pagamento de Borderos                   ;GERAL                                                                                                                                                                                              ;ADM,AP0;102
AP;5;05. Manutencao dos Documentos               ;ap0522  ;M.  Manutencao de AN's/PEF's nao Confirmados;GERAL                                                                                                                                                                                              ;ADM,AP0;103
AP;6;06. Emissao de Documentos                   ;ap0509  ;A.  Emissao de AP's                         ;GERAL                                                                                                                                                                                              ;ADM,AP0;104
AP;6;06. Emissao de Documentos                   ;ap5500  ;B.  Bordero do Contas a Pagar               ;GERAL                                                                                                                                                                                              ;ADM,AP0;105
AP;6;06. Emissao de Documentos                   ;ap0511  ;C.  Emissao de Cheques                      ;GERAL                                                                                                                                                                                              ;ADM,AP0;106
AP;6;06. Emissao de Documentos                   ;ap0516  ;D.  Emissao de Bordero de AN's e PEF's      ;GERAL                                                                                                                                                                                              ;ADM,AP0;107
AP;7;07. Consultas                               ;ap0801  ;A.  Empresas                                ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;108
AP;7;07. Consultas                               ;ap0802  ;B.  Estabelecimentos                        ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;109
AP;7;07. Consultas                               ;ap0803  ;C.  Grupo de Fornecedores                   ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;110
AP;7;07. Consultas                               ;ap0804  ;D.  Fornecedores                            ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;111
AP;7;07. Consultas                               ;ap0805  ;E.  Especies                                ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;112
AP;7;07. Consultas                               ;ap0806  ;F.  Portadores                              ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;113
AP;7;07. Consultas                               ;ap0807  ;G.  Consulta de Documentos                  ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;114
AP;7;07. Consultas                               ;ap0808  ;H.  Pagamentos Extra-Fornecedor             ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;115
AP;7;07. Consultas                               ;ap0812  ;I.  Bordero                                 ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;116
AP;7;07. Consultas                               ;ap0816  ;J.  Bordero de AN's e PEF's                 ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;117
AP;7;07. Consultas                               ;ap0813  ;K.  Baixas de Documentos                    ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;118
AP;7;07. Consultas                               ;ap0814  ;L.  Matrizes                                ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;119
AP;7;07. Consultas                               ;ap0815  ;M.  Notas Substituidas                      ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;120
AP;8;08. Relatorios                              ;ap0701  ;A.  Listagem do Movimento Pendente          ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;121
AP;8;08. Relatorios                              ;ap0702  ;B.  Sumario de Cheques Emitidos             ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;122
AP;8;08. Relatorios                              ;ap0703  ;C.  Documentos em Aberto por Fornecedor     ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;123
AP;8;08. Relatorios                              ;ap0704  ;D.  Documentos em Aberto por Vencimento     ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;124
AP;8;08. Relatorios                              ;ap0711  ;E.  Documentos Pagos                        ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;125
AP;8;08. Relatorios                              ;ap0705  ;F.  Curva ABC de Saldos/Compras             ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;126
AP;8;08. Relatorios                              ;ap0709  ;G.  Previsoes de Pagamento                  ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;127
AP;8;08. Relatorios                              ;ap0710  ;H.  Relatorio de Excecoes                   ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;128
AP;8;08. Relatorios                              ;ap0713  ;I.  Doctos Pagos Antecipados/Atrasados      ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;129
AP;8;08. Relatorios                              ;ap0715  ;J.  Relatorio de Devolucoes                 ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;130
AP;8;08. Relatorios                              ;ap0714  ;K.  Conferencia contra Estoque              ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;131
AP;8;08. Relatorios                              ;ap0720  ;L.  Listagem de Erros da Contabilizacao     ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;132
AP;8;08. Relatorios                              ;ap0723  ;M.  Conferencia de Borderos de AN's e PEF's ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,AP0,AP1;133
AP;9;09. Pagamento via Meio Magnetico            ;ap1001  ;A.  Envio dos Movimentos p/ Banco           ;GERAL                                                                                                                                                                                              ;ADM,AP0;134
AP;9;09. Pagamento via Meio Magnetico            ;ap1002  ;B.  Atualizacao dos Movimentos Recebidos    ;GERAL                                                                                                                                                                                              ;ADM,AP0;135
AP;9;09. Pagamento via Meio Magnetico            ;ap1004  ;C.  Atualizacao dos movtos enviados ao banco;GERAL                                                                                                                                                                                              ;ADM,AP0;136
AP;9;09. Pagamento via Meio Magnetico            ;ap1005  ;D.  Cancelamento de Movimentos              ;CPAGAR,INFORMAT                                                                                                                                                                                    ;ADM,AP0;137
AP;10;10. Importacao de Dados                     ;ap0515  ;A.  Importacao de Dados do Estoque          ;GERAL                                                                                                                                                                                              ;ADM;138
AP;10;10. Importacao de Dados                     ;cd1302  ;B.  Importacao de Clientes/Fornecedores     ;GERAL                                                                                                                                                                                              ;ADM;139
AP;10;10. Importacao de Dados                     ;cd1303  ;C.  Importacao de Contas                    ;GERAL                                                                                                                                                                                              ;ADM;140
AP;10;10. Importacao de Dados                     ;cd1304  ;D.  Importacao de Contas Contabeis          ;GERAL                                                                                                                                                                                              ;ADM;141
AP;10;10. Importacao de Dados                     ;ap1101  ;E.  Importacao de Documentos                ;GERAL                                                                                                                                                                                              ;ADM;142
AP;11;11. Rotina Mensal                           ;ap0706  ;A.  Razao dos Movimentos                    ;GERAL                                                                                                                                                                                              ;ADM,AP0;143
AP;11;11. Rotina Mensal                           ;ap0707  ;B.  Diario Auxiliar                         ;GERAL                                                                                                                                                                                              ;ADM,AP0;144
AP;11;11. Rotina Mensal                           ;ap0708  ;C.  Demonstrativo Contabil                  ;GERAL                                                                                                                                                                                              ;ADM,AP0;145
